pred_time_step,ca_mae,ca_rmse,ca_r2,ca_smape,T_mae,T_rmse,T_r2,T_smape
1,0.001243261,0.001525819,0.994402792,0.018134339,0.627673471,0.783836814,0.986957898,0.001399409
2,0.001973563,0.002356681,0.986647575,0.029512828,0.590195678,0.77071749,0.987391172,0.001318827
3,0.001500847,0.001862908,0.991656783,0.019831836,0.552732045,0.695867294,0.989721615,0.001235666
4,0.002500395,0.002696228,0.982523478,0.037039698,0.346690969,0.47365974,0.995237966,0.00077855
5,0.003207429,0.003908859,0.963269106,0.040873891,0.630502526,0.764301682,0.987601289,0.001410302
6,0.001403702,0.001754303,0.992601746,0.018909014,0.57000501,0.663842954,0.990646698,0.00127077
7,0.002543123,0.003455891,0.971290351,0.030548779,0.582657147,0.743055131,0.988281725,0.001299557
8,0.001667241,0.002135234,0.989040636,0.022395628,0.479961942,0.597868306,0.992413873,0.001076214
9,0.001917834,0.00241297,0.986004639,0.027599441,0.347428639,0.534908047,0.993927676,0.000780073
10,0.001791559,0.002161095,0.988774299,0.023535628,0.367877105,0.555705781,0.993446485,0.000825225
11,0.002649313,0.00333871,0.973207833,0.038832085,0.290960636,0.457481499,0.995558602,0.000652991
12,0.002148797,0.002662178,0.982966306,0.030336729,0.342604937,0.520944773,0.994241035,0.000766775
13,0.002416226,0.002846348,0.980528719,0.032251666,0.718033994,0.866814298,0.984055826,0.00160119
14,0.001071996,0.001670944,0.993289944,0.01401669,0.362377717,0.563960055,0.993251055,0.000811844
15,0.001682756,0.002401487,0.98614053,0.021298687,0.407045264,0.588850808,0.992642344,0.000916165
16,0.00156166,0.002533106,0.984580283,0.021382226,0.613244239,0.816178419,0.985865208,0.001375005
17,0.001439756,0.001775333,0.992426214,0.020802894,1.167474861,1.256212823,0.966516067,0.00260456
18,0.003060128,0.003604527,0.968779937,0.04011124,0.77445931,0.90070851,0.98278647,0.001730262
19,0.001137276,0.00176233,0.992537298,0.015035265,0.46842122,0.64236526,0.991244973,0.001050957
20,0.001307933,0.001942994,0.990929127,0.019678051,0.399255877,0.604342431,0.992250885,0.000894368
21,0.002185796,0.002645896,0.983179595,0.030405401,0.571497013,0.723907943,0.98888151,0.001282492
22,0.001844441,0.002523326,0.984702403,0.023370094,0.617201233,0.79720645,0.98651613,0.001377216
23,0.001325387,0.002225157,0.988104459,0.018395736,0.445290653,0.658608919,0.990797145,0.000998845
24,0.002161996,0.003184799,0.975632351,0.03131501,0.589787901,0.839535659,0.985046574,0.001322504
25,0.003279715,0.003895713,0.96354047,0.042869154,0.598322433,0.81619799,0.98586652,0.001338898
26,0.001569253,0.002520173,0.984742411,0.022513342,0.635845249,0.876326793,0.983707546,0.001421933
27,0.001562614,0.002856755,0.980395295,0.020213822,0.855788882,1.153031285,0.97179453,0.001907407
